name,ghidra_addr,ne_addr
EnsureMacintiStarbaseDesigns,1090:76e4,0013:76e4
FCreateAiStarbase,1090:7bca,0013:7bca
FAIFling,1090:7dd6,0013:7dd6
IshdefAiSBLatestOF,1090:8458,0013:8458
IshdefAiSBLatest,1090:84be,0013:84be
QueueAiStarbases,1090:8524,0013:8524
FUpgradeAiStarbase,1090:882a,0013:882a
FQueueAiTerraforming,1090:8d28,0013:8d28
FQueueAiScanner,1090:90d6,0013:90d6
FQueueAiDefenses,1090:939a,0013:939a
HandleBasicAiTasks,1090:95a4,0013:95a4
SplitOutShdefs,1090:98d8,0013:98d8
CheckAiShdefStatus,1090:9b10,0013:9b10
IncreaseAIMinefieldSizes,1090:9c66,0013:9c66
FFindBuddyAndJoinUp,1090:9d18,0013:9d18
FShouldPlanetBuildColonizer,1090:9f30,0013:9f30
InitRandomPlanetList,1090:a082,0013:a082
DoMaidAiTurn,1098:0000,0014:0000
FPotentISWarFleet,1098:012e,0014:012e
DoAutomitronAiTurn,1098:01e0,0014:01e0
EnsureISShdefs,1098:1938,0014:1938
DoRototillAiTurn,1098:1e22,0014:1e22
EnsureCAShdefs,1098:3020,0014:3020
DoMacintiAiTurn,10a0:0008,0015:0008
EnsureMacintiShdefs,10a0:2b3c,0015:2b3c
FRetargetMiner,10a0:336c,0015:336c
IdTargetMacFreighter,10a0:3524,0015:3524
TargetMacArmada,10a0:3e3a,0015:3e3a
FPotentMacWarFleet,10a0:42ec,0015:42ec
DoCyberAiTurn,10a8:002a,0016:002a
DoCyberPackets,10a8:1a78,0016:1a78
IdGetBestScannerDest,10a8:282a,0016:282a
FAddPacketToQueue,10a8:2bc0,0016:2bc0
FillProductionQueue,10a8:2ce2,0016:2ce2
FFillProdMinesAndFactories,10a8:2d72,0016:2d72
DoCyberFreighter,10a8:37b0,0016:37b0
FEnumDropOffStage1,10a8:3d00,0016:3d00
FEnumDropOffStage2,10a8:3dfe,0016:3dfe
FEnumPickUp,10a8:3f00,0016:3f00
FEnumNeedMinerals,10a8:3f5e,0016:3f5e
FEnumPktAttack,10a8:4204,0016:4204
